Helmholtz Coil Current (A)	RF max (MHz)	RF min (MHz)
0.751	1.6744	1.6696
0.756	1.6841	1.6788
0.761	1.6929	1.6884
0.766	1.7030	1.6984
0.771	1.7137	1.7084
0.776	1.7227	1.7189
0.781	1.7336	1.7289
0.786	1.7427	1.7397
0.791	1.7535	1.7495
0.796	1.7634	1.7607
0.801	1.7743	1.7710
0.806	1.7841	1.7811
0.810	1.7921	1.7889
0.842	1.8560	1.8525
0.846	1.8638	1.8612
0.851	1.8760	1.8720
0.856	1.8843	1.8809
0.861	1.8960	1.8922
0.866	1.9066	1.9024
0.871	1.9177	1.9133
0.920	2.0136	2.0099
0.925	2.0254	2.0212
0.930	2.0354	2.0318
0.935	2.0442	2.0406
0.940	2.0553	2.0521
0.945	2.0662	2.0617
0.950	2.0776	2.0736
0.955	2.0864	2.0830
